USER,PID,%CPU,%MEM,VSZ,RSS,TTY,STAT,START,TIME,COMMAND
root,1,0.0,0.0,23892,14204,?,Ss,01:41,0:02,/sbin/init,splash
root,2,0.0,0.0,0,0,?,S,01:41,0:00,[kthreadd]
root,3,0.0,0.0,0,0,?,S,01:41,0:00,[pool_workqueue_release]
root,4,0.0,0.0,0,0,?,I<,01:41,0:00,[kworker/R-rcu_g]
root,5,0.0,0.0,0,0,?,I<,01:41,0:00,[kworker/R-rcu_p]
root,6,0.0,0.0,0,0,?,I<,01:41,0:00,[kworker/R-slub_]
root,7,0.0,0.0,0,0,?,I<,01:41,0:00,[kworker/R-netns]
root,10,0.0,0.0,0,0,?,I<,01:41,0:00,[kworker/0:0H-events_highpri]
root,12,0.0,0.0,0,0,?,I<,01:41,0:00,[kworker/R-mm_pe]
root,13,0.0,0.0,0,0,?,I,01:41,0:00,[rcu_tasks_kthread]
root,14,0.0,0.0,0,0,?,I,01:41,0:00,[rcu_tasks_rude_kthread]
root,15,0.0,0.0,0,0,?,I,01:41,0:00,[rcu_tasks_trace_kthread]
root,16,0.0,0.0,0,0,?,S,01:41,0:00,[ksoftirqd/0]
root,17,0.0,0.0,0,0,?,I,01:41,0:09,[rcu_preempt]
root,18,0.0,0.0,0,0,?,S,01:41,0:00,[migration/0]
root,19,0.0,0.0,0,0,?,S,01:41,0:00,[idle_inject/0]
root,20,0.0,0.0,0,0,?,S,01:41,0:00,[cpuhp/0]
root,21,0.0,0.0,0,0,?,S,01:41,0:00,[cpuhp/2]
root,22,0.0,0.0,0,0,?,S,01:41,0:00,[idle_inject/2]
root,23,0.0,0.0,0,0,?,S,01:41,0:00,[migration/2]
root,24,0.0,0.0,0,0,?,S,01:41,0:00,[ksoftirqd/2]
root,26,0.0,0.0,0,0,?,I<,01:41,0:00,[kworker/2:0H-events_highpri]
root,27,0.0,0.0,0,0,?,S,01:41,0:00,[cpuhp/4]
root,28,0.0,0.0,0,0,?,S,01:41,0:00,[idle_inject/4]
root,29,0.0,0.0,0,0,?,S,01:41,0:00,[migration/4]
root,30,0.0,0.0,0,0,?,S,01:41,0:00,[ksoftirqd/4]
root,31,0.0,0.0,0,0,?,I,01:41,0:00,[kworker/4:0-events]
root,32,0.0,0.0,0,0,?,I<,01:41,0:00,[kworker/4:0H-events_highpri]
root,33,0.0,0.0,0,0,?,S,01:41,0:00,[cpuhp/6]
root,34,0.0,0.0,0,0,?,S,01:41,0:00,[idle_inject/6]
root,35,0.0,0.0,0,0,?,S,01:41,0:00,[migration/6]
root,36,0.0,0.0,0,0,?,S,01:41,0:00,[ksoftirqd/6]
root,38,0.0,0.0,0,0,?,I<,01:41,0:00,[kworker/6:0H-events_highpri]
root,39,0.0,0.0,0,0,?,S,01:41,0:00,[cpuhp/8]
root,40,0.0,0.0,0,0,?,S,01:41,0:00,[idle_inject/8]
root,41,0.0,0.0,0,0,?,S,01:41,0:00,[migration/8]
root,42,0.0,0.0,0,0,?,S,01:41,0:00,[ksoftirqd/8]
root,44,0.0,0.0,0,0,?,I<,01:41,0:00,[kworker/8:0H-events_highpri]
root,45,0.0,0.0,0,0,?,S,01:41,0:00,[cpuhp/10]
root,46,0.0,0.0,0,0,?,S,01:41,0:00,[idle_inject/10]
root,47,0.0,0.0,0,0,?,S,01:41,0:00,[migration/10]
root,48,0.0,0.0,0,0,?,S,01:41,0:00,[ksoftirqd/10]
root,50,0.0,0.0,0,0,?,I<,01:41,0:00,[kworker/10:0H-events_highpri]
root,51,0.0,0.0,0,0,?,S,01:41,0:00,[cpuhp/12]
root,52,0.0,0.0,0,0,?,S,01:41,0:00,[idle_inject/12]
root,53,0.0,0.0,0,0,?,S,01:41,0:00,[migration/12]
root,54,0.0,0.0,0,0,?,S,01:41,0:00,[ksoftirqd/12]
root,56,0.0,0.0,0,0,?,I<,01:41,0:00,[kworker/12:0H-events_highpri]
root,57,0.0,0.0,0,0,?,S,01:41,0:00,[cpuhp/14]
root,58,0.0,0.0,0,0,?,S,01:41,0:00,[idle_inject/14]
root,59,0.0,0.0,0,0,?,S,01:41,0:00,[migration/14]
root,60,0.0,0.0,0,0,?,S,01:41,0:00,[ksoftirqd/14]
root,62,0.0,0.0,0,0,?,I<,01:41,0:00,[kworker/14:0H-events_highpri]
root,63,0.0,0.0,0,0,?,S,01:41,0:00,[cpuhp/1]
root,64,0.0,0.0,0,0,?,S,01:41,0:00,[idle_inject/1]
root,65,0.0,0.0,0,0,?,S,01:41,0:00,[migration/1]
root,66,0.0,0.0,0,0,?,S,01:41,0:00,[ksoftirqd/1]
root,68,0.0,0.0,0,0,?,I<,01:41,0:00,[kworker/1:0H-events_highpri]
root,69,0.0,0.0,0,0,?,S,01:41,0:00,[cpuhp/3]
root,70,0.0,0.0,0,0,?,S,01:41,0:00,[idle_inject/3]
root,71,0.0,0.0,0,0,?,S,01:41,0:00,[migration/3]
root,72,0.0,0.0,0,0,?,S,01:41,0:00,[ksoftirqd/3]
root,74,0.0,0.0,0,0,?,I<,01:41,0:00,[kworker/3:0H-events_highpri]
root,75,0.0,0.0,0,0,?,S,01:41,0:00,[cpuhp/5]
root,76,0.0,0.0,0,0,?,S,01:41,0:00,[idle_inject/5]
root,77,0.0,0.0,0,0,?,S,01:41,0:00,[migration/5]
root,78,0.0,0.0,0,0,?,S,01:41,0:00,[ksoftirqd/5]
root,80,0.0,0.0,0,0,?,I<,01:41,0:00,[kworker/5:0H-events_highpri]
root,81,0.0,0.0,0,0,?,S,01:41,0:00,[cpuhp/7]
root,82,0.0,0.0,0,0,?,S,01:41,0:00,[idle_inject/7]
root,83,0.0,0.0,0,0,?,S,01:41,0:00,[migration/7]
root,84,0.0,0.0,0,0,?,S,01:41,0:00,[ksoftirqd/7]
root,86,0.0,0.0,0,0,?,I<,01:41,0:00,[kworker/7:0H-events_highpri]
root,87,0.0,0.0,0,0,?,S,01:41,0:00,[cpuhp/9]
root,88,0.0,0.0,0,0,?,S,01:41,0:00,[idle_inject/9]
root,89,0.0,0.0,0,0,?,S,01:41,0:00,[migration/9]
root,90,0.0,0.0,0,0,?,S,01:41,0:00,[ksoftirqd/9]
root,92,0.0,0.0,0,0,?,I<,01:41,0:00,[kworker/9:0H-events_highpri]
root,93,0.0,0.0,0,0,?,S,01:41,0:00,[cpuhp/11]
root,94,0.0,0.0,0,0,?,S,01:41,0:00,[idle_inject/11]
root,95,0.0,0.0,0,0,?,S,01:41,0:00,[migration/11]
root,96,0.0,0.0,0,0,?,S,01:41,0:00,[ksoftirqd/11]
root,98,0.0,0.0,0,0,?,I<,01:41,0:00,[kworker/11:0H-events_highpri]
root,99,0.0,0.0,0,0,?,S,01:41,0:00,[cpuhp/13]
root,100,0.0,0.0,0,0,?,S,01:41,0:00,[idle_inject/13]
root,101,0.0,0.0,0,0,?,S,01:41,0:00,[migration/13]
root,102,0.0,0.0,0,0,?,S,01:41,0:00,[ksoftirqd/13]
root,104,0.0,0.0,0,0,?,I<,01:41,0:00,[kworker/13:0H-events_highpri]
root,105,0.0,0.0,0,0,?,S,01:41,0:00,[cpuhp/15]
root,106,0.0,0.0,0,0,?,S,01:41,0:00,[idle_inject/15]
root,107,0.0,0.0,0,0,?,S,01:41,0:00,[migration/15]
root,108,0.0,0.0,0,0,?,S,01:41,0:00,[ksoftirqd/15]
root,110,0.0,0.0,0,0,?,I<,01:41,0:00,[kworker/15:0H-events_highpri]
root,111,0.0,0.0,0,0,?,S,01:41,0:00,[kdevtmpfs]
root,112,0.0,0.0,0,0,?,I<,01:41,0:00,[kworker/R-inet_]
root,114,0.0,0.0,0,0,?,S,01:41,0:00,[kauditd]
root,115,0.0,0.0,0,0,?,S,01:41,0:00,[khungtaskd]
root,116,0.0,0.0,0,0,?,S,01:41,0:00,[oom_reaper]
root,118,0.0,0.0,0,0,?,I<,01:41,0:00,[kworker/R-write]
root,119,0.0,0.0,0,0,?,S,01:41,0:00,[kcompactd0]
root,120,0.0,0.0,0,0,?,SN,01:41,0:00,[ksmd]
root,122,0.0,0.0,0,0,?,SN,01:41,0:00,[khugepaged]
root,123,0.0,0.0,0,0,?,I<,01:41,0:00,[kworker/R-kinte]
root,124,0.0,0.0,0,0,?,I<,01:41,0:00,[kworker/R-kbloc]
root,125,0.0,0.0,0,0,?,I<,01:41,0:00,[kworker/R-blkcg]
root,126,0.0,0.0,0,0,?,S,01:41,0:00,[irq/9-acpi]
root,128,0.0,0.0,0,0,?,I<,01:41,0:00,[kworker/R-tpm_d]
root,129,0.0,0.0,0,0,?,I<,01:41,0:00,[kworker/R-ata_s]
root,130,0.0,0.0,0,0,?,I<,01:41,0:00,[kworker/R-md]
root,131,0.0,0.0,0,0,?,I<,01:41,0:00,[kworker/R-md_bi]
root,132,0.0,0.0,0,0,?,I<,01:41,0:00,[kworker/R-edac-]
root,133,0.0,0.0,0,0,?,I<,01:41,0:00,[kworker/R-devfr]
root,134,0.0,0.0,0,0,?,S,01:41,0:00,[watchdogd]
root,135,0.0,0.0,0,0,?,I<,01:41,0:00,[kworker/14:1H-kblockd]
root,136,0.0,0.0,0,0,?,S,01:41,0:00,[irq/25-AMD-Vi0-Evt]
root,137,0.0,0.0,0,0,?,S,01:41,0:00,[irq/26-AMD-Vi0-PPR]
root,138,0.0,0.0,0,0,?,S,01:41,0:00,[irq/27-AMD-Vi0-GA]
root,140,0.0,0.0,0,0,?,S,01:41,0:00,[kswapd0]
root,141,0.0,0.0,0,0,?,S,01:41,0:00,[ecryptfs-kthread]
root,142,0.0,0.0,0,0,?,I<,01:41,0:00,[kworker/R-kthro]
root,143,0.0,0.0,0,0,?,I,01:41,0:00,[kworker/2:1-mm_percpu_wq]
root,150,0.0,0.0,0,0,?,I,01:41,0:00,[kworker/9:1-mm_percpu_wq]
root,155,0.0,0.0,0,0,?,I<,01:41,0:00,[kworker/R-acpi_]
root,156,0.0,0.0,0,0,?,I,01:41,0:00,[kworker/14:2-cgroup_destroy]
root,157,0.0,0.0,0,0,?,I<,01:41,0:00,[kworker/R-mld]
root,158,0.0,0.0,0,0,?,I<,01:41,0:00,[kworker/R-ipv6_]
root,160,0.0,0.0,0,0,?,I<,01:41,0:00,[kworker/15:1H-kblockd]
root,166,0.0,0.0,0,0,?,I<,01:41,0:00,[kworker/R-kstrp]
root,181,0.0,0.0,0,0,?,I<,01:41,0:00,[kworker/R-charg]
root,182,0.0,0.0,0,0,?,S,01:41,0:00,[irq/28-ACPI:Event]
root,183,0.0,0.0,0,0,?,S,01:41,0:00,[irq/29-ACPI:Event]
root,184,0.0,0.0,0,0,?,S,01:41,0:00,[irq/30-ACPI:Event]
root,185,0.0,0.0,0,0,?,S,01:41,0:00,[irq/31-ACPI:Event]
root,186,0.0,0.0,0,0,?,S,01:41,0:00,[irq/32-ACPI:Event]
root,187,0.0,0.0,0,0,?,S,01:41,0:00,[irq/33-ACPI:Event]
root,188,0.0,0.0,0,0,?,S,01:41,0:00,[irq/34-ACPI:Event]
root,189,0.0,0.0,0,0,?,S,01:41,0:00,[irq/35-ACPI:Event]
root,212,0.0,0.0,0,0,?,I<,01:41,0:00,[kworker/13:1H-kblockd]
root,216,0.0,0.0,0,0,?,I<,01:41,0:00,[kworker/0:1H-kblockd]
root,217,0.0,0.0,0,0,?,I<,01:41,0:00,[kworker/2:1H-kblockd]
root,238,0.0,0.0,0,0,?,I<,01:41,0:00,[kworker/10:1H-kblockd]
root,239,0.0,0.0,0,0,?,I<,01:41,0:00,[kworker/8:1H-kblockd]
root,250,0.0,0.0,0,0,?,I<,01:41,0:00,[kworker/12:1H-kblockd]
root,251,0.0,0.0,0,0,?,I<,01:41,0:00,[kworker/11:1H-kblockd]
root,253,0.0,0.0,0,0,?,I<,01:41,0:00,[kworker/6:1H-kblockd]
root,254,0.0,0.0,0,0,?,I<,01:41,0:00,[kworker/3:1H-kblockd]
root,255,0.0,0.0,0,0,?,I<,01:41,0:00,[kworker/5:1H-kblockd]
root,256,0.0,0.0,0,0,?,I<,01:41,0:00,[kworker/7:1H-kblockd]
root,257,0.0,0.0,0,0,?,I<,01:41,0:00,[kworker/9:1H-kblockd]
root,259,0.0,0.0,0,0,?,I<,01:41,0:00,[kworker/4:1H-kblockd]
root,261,0.0,0.0,0,0,?,S,01:41,0:04,[irq/39-ELAN074E:00]
root,263,0.0,0.0,0,0,?,I<,01:41,0:00,[kworker/1:1H-kblockd]
root,339,0.0,0.0,0,0,?,I<,01:41,0:00,[kworker/R-nvme-]
root,340,0.0,0.0,0,0,?,I<,01:41,0:00,[kworker/R-nvme-]
root,341,0.0,0.0,0,0,?,I<,01:41,0:00,[kworker/R-nvme-]
root,342,0.0,0.0,0,0,?,I<,01:41,0:00,[kworker/R-nvme-]
root,401,0.0,0.0,0,0,?,I<,01:41,0:00,[kworker/R-USBC0]
root,429,0.0,0.0,0,0,?,S,01:41,0:00,[jbd2/nvme0n1p2-8]
root,430,0.0,0.0,0,0,?,I<,01:41,0:00,[kworker/R-ext4-]
root,440,0.0,0.0,0,0,?,I,01:41,0:00,[kworker/12:2-mm_percpu_wq]
root,487,0.0,0.1,67284,19212,?,S<s,01:41,0:01,/usr/lib/systemd/systemd-journald
root,577,0.0,0.0,30848,8832,?,Ss,01:41,0:00,/usr/lib/systemd/systemd-udevd
root,653,0.0,0.0,0,0,?,S,01:41,0:00,[psimon]
root,726,0.0,0.0,0,0,?,I,01:41,0:00,[kworker/15:2-cgroup_destroy]
root,751,0.0,0.0,0,0,?,I<,01:41,0:00,[kworker/R-crypt]
root,872,0.0,0.0,0,0,?,I<,01:41,0:00,[kworker/R-cfg80]
root,979,0.0,0.0,0,0,?,S,01:41,0:35,[irq/76-rtw89_pci]
root,1014,0.0,0.0,0,0,?,I<,01:41,0:00,[kworker/R-amdgp]
root,1119,0.0,0.0,0,0,?,I<,01:41,0:00,[kworker/R-ttm]
systemd+,1163,0.0,0.0,17556,7424,?,Ss,01:41,0:02,/usr/lib/systemd/systemd-oomd
systemd+,1172,0.0,0.0,21848,12032,?,Ss,01:41,0:00,/usr/lib/systemd/systemd-resolved
systemd+,1175,0.0,0.0,91044,7552,?,Ssl,01:41,0:00,/usr/lib/systemd/systemd-timesyncd
